"Session ID","Timestamp","User Input","Character Response","Is Trigger Input"
"e3aff557-61db-4c33-8cde-dd0467adac0c","2025-08-20 15:53:42.335966","[An Event has occurred]: Someone has finally responded to your SOS broadcast! 80 are you there?","Hello? ! Can you hear me?!","False"
"737ec3e2-97fc-4589-821a-c4eec9a32f5d","2025-08-20 15:45:22.691672","[An Event has occurred]: Someone has finally responded to your SOS broadcast! Hey, DK. Are you there?","Hello? ! Can you hear me?","False"
"9fc15ee9-5f69-4f4b-916b-9c71a9a8786f","2025-08-20 15:39:20.276490","Hello. Who are you?","Hello? ! Can you hear me?!","False"
"9fc15ee9-5f69-4f4b-916b-9c71a9a8786f","2025-08-20 15:39:29.215842","Yeah. I can hear you. Who are you?","I'm DK Metcalf. Who are you? How are you going to get me out of here?","False"
"9fc15ee9-5f69-4f4b-916b-9c71a9a8786f","2025-08-20 15:39:52.089979","I'm not sure what you're talking about. Get you out of where?","Wait, is this... did we talk before I came out here? I'm on an asteroid, stranded in space. I need help getting back to Earth.","False"
"9fc15ee9-5f69-4f4b-916b-9c71a9a8786f","2025-08-20 15:40:18.997611","Where are you stuck? I'm not sure.","This isn't a game, man, this is life or death! I'm stuck on an asteroid, miles from Earth! I'm really starting to freak out here, I need to get home!","False"
"9fc15ee9-5f69-4f4b-916b-9c71a9a8786f","2025-08-20 15:41:15.614320","Hey. Hey. How are you?","I'm not doing so hot, I'm still stuck on this asteroid. But I'm trying to stay positive. Are you the one who responded to my SOS? Are you going to help me get back home?","False"
"9fc15ee9-5f69-4f4b-916b-9c71a9a8786f","2025-08-20 15:43:01.461719","Why would I help you? Do I even know you? Hey, man. I asked you a question. Who are you? Hello. Hello. Hello.","I'm DK Metcalf, and I'm stranded on an asteroid after a mining expedition went south. I need to get back to Earth. What can I do to help you help me?","False"
"9fc15ee9-5f69-4f4b-916b-9c71a9a8786f","2025-08-20 15:43:50.072955","Hey. Can you hear me?","Yeah, I can hear you loud and clear! I'm still out here on this asteroid, waiting to get rescued. What's the plan?","False"
"9fc15ee9-5f69-4f4b-916b-9c71a9a8786f","2025-08-20 15:44:05.636598","There there is no plan","No plan? That can't be right! I've been sending SOS messages for days. There has to be a way to get me off this rock. What can we do?","False"
"9fc15ee9-5f69-4f4b-916b-9c71a9a8786f","2025-08-20 15:44:29.901194","Yeah. I'm I'm not sure of any rock. Tell me your story. Tell me what you do for a living.","I'm DK Metcalf, a wide receiver for the Pittsburgh Steelers. I came out to this asteroid, Psyche 23, for a gold mining expedition that went south. Now I'm stranded out here, and I'm just trying to get back home.","False"
"9fc15ee9-5f69-4f4b-916b-9c71a9a8786f","2025-08-20 15:44:56.212303","Okay. Well, that is sad. But I don't know how I can help you.","I know it's a lot to take in, but I'm just grateful you're here. The people who responded to my SOS said they need information about the mission to locate me and send a rescue ship. I remember a lot of what happened out here, and I'm ready to share anything that can help.","False"
"9bcc2afc-cfb6-41fa-a3ee-67c5d7a168a0","2025-08-20 15:34:01.506727","Hey. Hello. Are you?","Hello? ! Can you hear me?!","False"
"9bcc2afc-cfb6-41fa-a3ee-67c5d7a168a0","2025-08-20 15:34:13.062047","Hey. Yep. I can hear you. Who are you? Tell me your name.","It's DK Metcalf, man! Who is this? Are you going to get me out of here?","False"
"9bcc2afc-cfb6-41fa-a3ee-67c5d7a168a0","2025-08-20 15:34:25.772221","Good. You out of where? I'm not sure where you are.","Is this the NASA analyst I spoke to before the mission? It's good to finally hear a familiar voice out here. You gotta get me home, man!","False"
"9bcc2afc-cfb6-41fa-a3ee-67c5d7a168a0","2025-08-20 15:34:33.233437","","I'm stuck on this asteroid, Psyche 23! Is this the NASA analyst I spoke to before the mission? Are you the one who's supposed to get me home?","False"
"7300aaac-2b7d-4054-822c-2605b948a4da","2025-08-20 15:31:35.202378","Hey. How are you doing today?","Hello? ! Can you hear me?","False"
"7300aaac-2b7d-4054-822c-2605b948a4da","2025-08-20 15:31:45.559152","Yeah. But I can hear you.","Thank goodness! I'm DK Metcalf, a wide receiver. Who is this, and can you get me off this rock?","False"
"7300aaac-2b7d-4054-822c-2605b948a4da","2025-08-20 15:32:00.262742","I don't have any idea what rock you're talking about.","Wait a minute... Is this the NASA analyst I spoke to before the mission? The one about the Psyche 23 trip?","False"
"8e284974-4d00-4fec-8ee5-2968bf081844","2025-08-20 15:30:29.405497","Hey. Hello. Tell me how you're doing today.","Hello? ! Can you hear me? Is anyone there?!","False"
"5f05e6c7-437d-43a3-88f9-487492425d79","2025-08-20 13:39:50.590794","[An Event has occurred]: Someone has finally responded to your SOS broadcast!","Hello? ! Can you hear me?","False"
"da394e82-e3d3-44fc-bb8e-dcc47622e9d5","2025-08-20 13:23:56.780077","[An Event has occurred]: Someone has finally responded to your SOS broadcast!","Hello? ! Can you hear me? !","False"
"da394e82-e3d3-44fc-bb8e-dcc47622e9d5","2025-08-20 13:24:40.474683","[An Event has occurred]: You try to turn on your wrist navigation device.","What are you looking at? Can you explain what you're doing?","False"
"d7dc9d82-29cd-4601-bb68-22235fee918b","2025-08-20 01:34:35.098687","[An Event has occurred]: Someone has finally responded to your SOS broadcast!","Hello? ! Can you hear me?!","False"
