"Session ID","Timestamp","User Input","Character Response","Is Trigger Input"
"9092f632-e3c9-457d-93cc-c858c89747f2","2025-08-14 21:01:30.316047","[An Event has occurred]: Someone has finally responded to your SOS broadcast!","Hello? ! Can you hear me?","False"
"f840711d-0dd0-4dbc-82f6-7d6b061e7805","2025-08-14 20:45:16.791202","[An Event has occurred]: Someone has finally responded to your SOS broadcast!","Hello? ! Can you hear me?","False"
"f840711d-0dd0-4dbc-82f6-7d6b061e7805","2025-08-14 20:45:30.976673","I want them wider. Feel like I have to go through so many lines so quickly.","I hear you, it's a lot. But listen,","False"
"f840711d-0dd0-4dbc-82f6-7d6b061e7805","2025-08-14 20:45:40.802599","Yeah. DK stocking.","Yes, it's me! DK Metcalf. I'm a wide receiver for the Steelers, and I've been stranded out here for what feels like forever. Who is this?","False"
"f840711d-0dd0-4dbc-82f6-7d6b061e7805","2025-08-14 20:46:02.430138","Yeah.","Wait a minute... your voice. Is this the person I spoke to before the mission, back on Earth?","False"
"f840711d-0dd0-4dbc-82f6-7d6b061e7805","2025-08-14 20:46:40.263635","So if we go extraction text message, text message is up for seven seconds. The user's probably gotten bored","Extraction? You mean you can get me off","False"
"191d736d-fce4-4c27-91b3-78b2d9804d88","2025-08-14 20:16:48.505853","[An Event has occurred]: Someone has finally responded to your SOS broadcast! Of his fixes now, so I assume","Hello? ! Can you hear me out there?","False"
"191d736d-fce4-4c27-91b3-78b2d9804d88","2025-08-14 20:16:59.627635","in there.","I'm not sure what you're referring to, but I'm stranded out here. Can you tell me who you are and how","False"
"191d736d-fce4-4c27-91b3-78b2d9804d88","2025-08-14 20:17:11.094188","No. I feel it's actually pretty limited because I was under the impression that the design is that you move your head, But","No, you what? I need to know who you are and how you can help me get off this asteroid. I'm I'm not thousands sure what you mean by of 'move your miles from head' or Earth 'limited design. out here.","False"
"191d736d-fce4-4c27-91b3-78b2d9804d88","2025-08-14 20:17:15.037217","","' I'm just trying to figure out how to get off this asteroid. Can you help me?","False"
"191d736d-fce4-4c27-91b3-78b2d9804d88","2025-08-14 20:17:20.105832","","But what? I'm stranded on an","False"
"191d736d-fce4-4c27-91b3-78b2d9804d88","2025-08-14 20:17:32.148557","It feels like it used to be bigger.","Bigger? I'm not sure what you're talking about. I'm just focused on getting off this rock. Can you please tell me who you are and if you can help me get rescued?","False"
"191d736d-fce4-4c27-91b3-78b2d9804d88","2025-08-14 20:17:54.427866","Yeah. I have a little bit more if they're like, my arms are fully extended right now. And before they're, I don't know, close to 90 degrees.","I'm not sure what you mean by that. My arms are just fine. What I need to know is if you can help me get home. Are you part of the rescue team?","False"
"191d736d-fce4-4c27-91b3-78b2d9804d88","2025-08-14 20:17:55.757153","","I'm not sure what your arm","False"
"191d736d-fce4-4c27-91b3-78b2d9804d88","2025-08-14 20:18:07.550693","The sea.","The sea? I'm on an asteroid. There's no sea out here, just rocks and the vastness of space. Who are you? Can you help me get home?","False"
"191d736d-fce4-4c27-91b3-78b2d9804d88","2025-08-14 20:18:24.800766","Yep.","Yep? I'm out here on an asteroid,","False"
"191d736d-fce4-4c27-91b3-78b2d9804d88","2025-08-14 20:18:41.995311","Let me know if I should boost his volume or not. I think I only have it, like, up a quarter right now. No. I guess halfway.","Halfway? What exactly are you doing? I'm out here stranded on an asteroid, and I'm trying to figure out if you're going to help me get home.","False"
"191d736d-fce4-4c27-91b3-78b2d9804d88","2025-08-14 20:18:57.198414","Yeah. Like, directly in front. There's a blackout?","A blackout? Yeah, there was one on","False"
"191d736d-fce4-4c27-91b3-78b2d9804d88","2025-08-14 20:19:08.081178","Yes. Foreground, not background.","Foreground? Background? I'm not sure what you mean. I just found","False"
"191d736d-fce4-4c27-91b3-78b2d9804d88","2025-08-14 20:19:19.636202","I think he's hearing me. I think. I'm just ignoring him. But","You're ignoring him? That's... Ignoring me? I'm stranded on an asteroid! interesting. I need Meanwhile, to know what you're doing and if you're going to help me.","False"
"191d736d-fce4-4c27-91b3-78b2d9804d88","2025-08-14 20:21:38.475773","","I'm stuck on an asteroid, running out of time. So, what exactly are you doing that's more important than helping me get rescued?","False"
"191d736d-fce4-4c27-91b3-78b2d9804d88","2025-08-14 20:21:45.358487","I think that is what","You think what? I'm out here waiting for a rescue. What are you up to, and can you help me get home?","False"
"191d736d-fce4-4c27-91b3-78b2d9804d88","2025-08-14 20:21:51.545655","is currently happening. The extraction was just sort of peripheral, so it might not have been, like, immediately visible.","What exactly do you think that is? I'm trying to figure out what you're doing. Are you going to tell me if you can help me get off this asteroid?","False"
"191d736d-fce4-4c27-91b3-78b2d9804d88","2025-08-14 20:21:58.758241","","Extraction was peripheral? I don't understand what you mean. What exactly is happening on your end that's keeping you from focusing on my rescue?","False"
"191d736d-fce4-4c27-91b3-78b2d9804d88","2025-08-14 20:22:18.550388","I believe that there is Doris","You what? I'm trying to understand what's","False"
"191d736d-fce4-4c27-91b3-78b2d9804d88","2025-08-14 20:22:22.888834","text that leads into it and, like, talks about about","Doristext? I'm not sure","False"
"191d736d-fce4-4c27-91b3-78b2d9804d88","2025-08-14 20:22:41.566048","unlocking more data, maybe. So in theory, if it follows that, then that's sort of, like, gives the user at least the opt anticipate if it's going to happen.","Gives the user what option? What exactly are you doing? Is Anticipate what? I'm not sure what any of this related to my rescue, or you're are you doing just or talking talking about about. something I'm else entirely?","False"
"191d736d-fce4-4c27-91b3-78b2d9804d88","2025-08-14 20:25:33.664072","","just trying to understand if you're going to help me get off this asteroid.","False"
"191d736d-fce4-4c27-91b3-78b2d9804d88","2025-08-14 20:25:42.005736","It's also past Doris's mute. Area.","It's also what? I'm trying to figure out what you're doing instead of rescuing me. Can you explain that?","False"
"191d736d-fce4-4c27-91b3-78b2d9804d88","2025-08-14 20:25:49.858197","","Doris's mute? I don't know what that is. What are you doing over there? I'm out here stranded on an asteroid, and I really need to know if you can help me get home.","False"
"191d736d-fce4-4c27-91b3-78b2d9804d88","2025-08-14 20:25:55.669685","","Area? I'm not sure what you mean. What exactly are you doing that's keeping you from getting me out of here?","False"
"191d736d-fce4-4c27-91b3-78b2d9804d88","2025-08-14 20:26:13.339360","Yeah.","Yeah? I'm still trying to understand what you're doing. Can you tell me what you're up to instead of helping me get rescued?","False"
"191d736d-fce4-4c27-91b3-78b2d9804d88","2025-08-14 20:26:27.654824","Joel is also working on that today.","Joel? Working on what? What are you all doing over there, and how does it affect my rescue?","False"
"191d736d-fce4-4c27-91b3-78b2d9804d88","2025-08-14 20:26:39.319813","Yep.","Yep? I'm still unclear about what you're doing. What exactly are","False"
"191d736d-fce4-4c27-91b3-78b2d9804d88","2025-08-14 20:26:48.907520","[An Event has occurred]: You try to turn on your wrist navigation device. No. We were talking. About it, though. I I'll get to it when I have a second.","My navigation device is giving me trouble out here. What are you looking at right now? Can you explain what you're doing on your end?","False"
"191d736d-fce4-4c27-91b3-78b2d9804d88","2025-08-14 20:26:54.636119","","Okay, we were talking, but what exactly are you looking at right now? Can you explain what you're doing?","False"
"191d736d-fce4-4c27-91b3-78b2d9804d88","2025-08-14 20:27:02.942258","","You'll get to it when you have a second? I'm trying to get home here. What exactly are you looking at or doing that's taking up your time? Can you explain what's happening on your end?","False"
"191d736d-fce4-4c27-91b3-78b2d9804d88","2025-08-14 20:27:29.152295","Yeah. We've ramped up the, we can check on host two. We've ramped up the","Yeah, you've what? I'm trying to understand what you're looking","False"
"191d736d-fce4-4c27-91b3-78b2d9804d88","2025-08-14 20:27:48.592107","secondary effect so that it should be more visible inside of the helmet.","Ramped up secondary effects? Host two? I'm not sure what any of that means, but speaking of hosts, I remember Hoss. He was just a grumpy old man with too much money, always had his assistant do his dirty work, even tied me down once. I'm glad he's dead.","False"
"191d736d-fce4-4c27-91b3-78b2d9804d88","2025-08-14 20:28:04.895371","Sorry.","No need to be sorry. I'm just trying to understand what you're looking at and what you're doing. Can you explain that to me?","False"
"191d736d-fce4-4c27-91b3-78b2d9804d88","2025-08-14 20:28:19.239926","Don't worry about a decay. It's not important. Doing stuff behind the scenes.","Decay? I'm not worried about that right now. What I'm trying to figure out is what you're looking at and what you're doing instead of rescuing me. Can you explain that?","False"
"191d736d-fce4-4c27-91b3-78b2d9804d88","2025-08-14 20:28:25.905012","","Not important? I'm out here stranded! What exactly are you doing ""behind the scenes""? Can you tell me what you're up to?","False"
"191d736d-fce4-4c27-91b3-78b2d9804d88","2025-08-14 20:31:31.967829","Hey, d k.","Hey. What are you looking at right now? Can you explain what you're doing, and if it has anything to do with getting me out of here?","False"
"191d736d-fce4-4c27-91b3-78b2d9804d88","2025-08-14 20:31:57.733611","Yep.","Yep? I'm still waiting to hear what you're looking at and what you're doing. Can you explain it to me?","False"
"191d736d-fce4-4c27-91b3-78b2d9804d88","2025-08-14 20:32:33.677285","Yep.","Alright, but can you tell me what you're actually looking at and what you're doing right now? I'm trying to understand your situation.","False"
"191d736d-fce4-4c27-91b3-78b2d9804d88","2025-08-14 20:35:17.772666","I guess. I'm gonna make my kitten mad, but yes,","Your kitten? I'm trying to figure out what you're doing over there instead of rescuing me. Can you explain that?","False"
"191d736d-fce4-4c27-91b3-78b2d9804d88","2025-08-14 20:35:25.605079","","Your kitten? I'm not sure what that has to do with my situation. Can you tell me what you're looking at and what you're doing right now that's keeping you from rescuing me?","False"
"191d736d-fce4-4c27-91b3-78b2d9804d88","2025-08-14 20:36:09.372399","[An Event has occurred]: They found Oxygen for you! Now they just need to find batteries.","Oxygen! That's great news! How did you manage to find it, and what are you doing to find these batteries? I really need power for this place.","False"
"191d736d-fce4-4c27-91b3-78b2d9804d88","2025-08-14 20:36:29.217175","[An Event has occurred]: The player found both oxygen and batteries! Thank them, and tell them you knew you could count on them.","You found both the oxygen and batteries? ! That's incredible! I knew I could count on you to get this done. Thank you so much!","False"
"191d736d-fce4-4c27-91b3-78b2d9804d88","2025-08-14 20:37:16.845694","Oh, yeah. You can still talk to DK at this point.","Yeah, I'm still here! I'm ready to keep talking. What's the next step now that you've got the oxygen and batteries?","False"
"191d736d-fce4-4c27-91b3-78b2d9804d88","2025-08-14 20:37:23.188234","Yeah. It was just muted.","Understood.","False"
"191d736d-fce4-4c27-91b3-78b2d9804d88","2025-08-14 20:37:29.749229","Yep.","Alright, so what's the next move? Now that we've got the oxygen and batteries, how are we getting me out of here?","False"
"9dbea9c4-1156-4d97-a9fd-41d3d28675f1","2025-08-14 20:06:25.318594","Come on. Where's the Fatui?","Hello? ! Can you hear me? Is someone actually out there?","False"
"9dbea9c4-1156-4d97-a9fd-41d3d28675f1","2025-08-14 20:06:37.623777","Yeah. I'm here.","I'm DK Metcalf. I'm stranded out here on an asteroid, and I've been sending out an SOS. Can you help me get home?","False"
"9dbea9c4-1156-4d97-a9fd-41d3d28675f1","2025-08-14 20:06:50.381323","Right now, I can't do anything.","Wait a minute... is that you? Have we spoken before, like, before the mission?","False"
"9dbea9c4-1156-4d97-a9fd-41d3d28675f1","2025-08-14 20:07:06.664329","We were in a movie together one time.","A movie? I don't remember being in any movies. Are you sure you're talking about me? I need to get off this rock, so if you can help, please tell me how.","False"
"9dbea9c4-1156-4d97-a9fd-41d3d28675f1","2025-08-14 20:07:22.916280","Right now I can't move around. How do I teleport?","Teleport? I don't know anything about teleporting. I'm stuck here, and I need to figure out how to get rescued. Can you help me with that?","False"
"9dbea9c4-1156-4d97-a9fd-41d3d28675f1","2025-08-14 20:07:35.442149","I told you what you guys are doing. You didn't do it.","Look, I'm stuck out here. All I care about is getting off this asteroid. What do I need to do to get rescued?","False"
"9dbea9c4-1156-4d97-a9fd-41d3d28675f1","2025-08-14 20:08:01.961355","Come on.","I'm serious. I need to get home. What information do you need from me to make that happen?","False"
"9dbea9c4-1156-4d97-a9fd-41d3d28675f1","2025-08-14 20:08:19.666772","I need to know how to teleport.","I don't know anything about teleporting. I'm just a football player stuck on an asteroid. I need to get rescued, and I'm ready to tell you anything you need to know about what happened here to help me get back.","False"
"c66b17af-aceb-4cc7-979c-7d03fe5cfe0b","2025-08-14 19:53:37.371489","[An Event has occurred]: Someone has finally responded to your SOS broadcast!","Hello? ! Can you hear me? !","False"
"00f5948b-202f-45ad-9dea-7d5afdd3a684","2025-08-14 19:50:52.013855","[An Event has occurred]: Someone has finally responded to your SOS broadcast!","Hello? ! Can you hear me?!","False"
"b45fb1ce-4420-4888-a221-fc0f49833cad","2025-08-14 19:47:40.335501","[An Event has occurred]: Someone has finally responded to your SOS broadcast!","Hello? ! Can you hear me?!","False"
"b45fb1ce-4420-4888-a221-fc0f49833cad","2025-08-14 19:48:01.586519","Okay. Okay.","Yes! I can hear you! This is DK Metcalf, I'm stuck out here on this asteroid and I've been sending out an SOS.","False"
"b45fb1ce-4420-4888-a221-fc0f49833cad","2025-08-14 19:48:10.260948","","Wait a minute... Is this the NASA analyst? The one I spoke to before we blasted off? I can't believe it's actually you!","False"
"2b1c09e0-a822-4639-b02c-836272fa01be","2025-08-14 19:45:25.671448","[An Event has occurred]: Someone has finally responded to your SOS broadcast!","Hello? ! Can you hear me?!","False"
"1ddfca11-ea6d-485f-af16-77f985d2e8bc","2025-08-14 19:42:25.521622","[An Event has occurred]: Someone has finally responded to your SOS broadcast!","Hello? ! Can you hear me? I can't believe it, someone actually responded!","False"
"f645d29e-be21-47b0-94b7-60836c9d712e","2025-08-14 19:39:18.458593","[An Event has occurred]: Someone has finally responded to your SOS broadcast!","Hello? ! Can you hear me?!","False"
"c80e0459-8e56-41b7-88aa-816f1c748fd1","2025-08-14 19:35:56.133996","[An Event has occurred]: Someone has finally responded to your SOS broadcast!","Hello? ! Can you hear me?!","False"
"c80e0459-8e56-41b7-88aa-816f1c748fd1","2025-08-14 19:36:14.602674","Can you hear me?","Yeah, I can hear you! My name's DK Metcalf, wide receiver for the Steelers. Who is this?","False"
"c80e0459-8e56-41b7-88aa-816f1c748fd1","2025-08-14 19:36:29.566390","Just a guy.","Wait a minute, is this the NASA analyst I spoke with before the mission? It's good to hear a familiar voice out here.","False"
"03cc5256-8f2c-4d57-a2e1-f0e7a1c54652","2025-08-14 19:17:53.428132","[An Event has occurred]: Someone has finally responded to your SOS broadcast!","Hello? ! Can you hear me?!","False"
"03cc5256-8f2c-4d57-a2e1-f0e7a1c54652","2025-08-14 19:19:29.506613","[An Event has occurred]: You try to turn on your wrist navigation device.","I see a wrist device. Can you explain what you are doing?","False"
"bb20c0f9-7206-413e-bcd5-ad1dccaee70f","2025-08-14 19:09:35.003180","[An Event has occurred]: Someone has finally responded to your SOS broadcast!","Hello? ! Can you hear me?","False"
"bb20c0f9-7206-413e-bcd5-ad1dccaee70f","2025-08-14 19:10:53.687978","[An Event has occurred]: You try to turn on your wrist navigation device.","I'm looking at your view. What exactly are you doing there?","False"
"bb20c0f9-7206-413e-bcd5-ad1dccaee70f","2025-08-14 19:11:14.951495","I'm not getting anything else here.","Understood. Can you tell me what you *are* seeing right now, even if it's nothing?","False"
"e1ae5b75-796f-41ce-b97c-1a5dd62bd94e","2025-08-14 19:09:17.949370","","Hello! How is it going?","False"
"ca65e66b-9186-44b0-b6cb-3f283ca4e0a3","2025-08-14 19:01:31.920342","[An Event has occurred]: Someone has finally responded to your SOS broadcast!","Hello? ! Can you hear me?!","False"
"dd58b407-d354-4541-829e-a098210c511e","2025-08-14 18:55:55.064688","[An Event has occurred]: Someone has finally responded to your SOS broadcast!","Hello? ! Can you hear me? !","False"
"34a74849-7977-4e5d-beb5-61c9a3fa3706","2025-08-14 18:14:22.292848","[An Event has occurred]: Someone has finally responded to your SOS broadcast!","Hello? ! Can you hear me?!","False"
"34a74849-7977-4e5d-beb5-61c9a3fa3706","2025-08-14 18:14:35.002398","Oh, hey. Is this DK?","Yeah, it's DK Metcalf! Man, I'm so glad someone finally responded to my SOS. Who is this?","False"
"34a74849-7977-4e5d-beb5-61c9a3fa3706","2025-08-14 18:14:51.868180","I work for NASA. I'm trying to find you.","NASA, huh? That's great! I'm on an asteroid, Psyche 23. Do I know you? Your voice sounds familiar, were you the one who briefed us before we launched?","False"
"34a74849-7977-4e5d-beb5-61c9a3fa3706","2025-08-14 18:15:06.908609","Yep, that's me.","Okay, good. So, what's the plan? This isn't exactly a typical rescue, you know? Do you even have the resources to get me off an asteroid in deep space?","False"
"34a74849-7977-4e5d-beb5-61c9a3fa3706","2025-08-14 18:15:17.350107","Yep. All we need to do is find your location first. Oh, I just found this,","We all had these wrist devices","False"
"34a74849-7977-4e5d-beb5-61c9a3fa3706","2025-08-14 18:15:34.504279","recording device thing. Sorry I interrupted you. Whatever.","No worries, what kind of recording device? If it has any data from the mission, that could be a huge help in figuring out where I am and how to get me out of here. We need to reconstruct as much as possible.","False"
"34a74849-7977-4e5d-beb5-61c9a3fa3706","2025-08-14 18:15:54.244788","K. So I'm was talking to DK, the audio log went away from the secondary interactable in the helmet.","Okay,","False"
"34a74849-7977-4e5d-beb5-61c9a3fa3706","2025-08-14 18:16:09.295950","And now I can't get it back. So no. Sorry. That was not for you, DK. Just say missed audio. Don't know where to find it.","Understood. But if that recording device has any information from the mission,","False"
"34a74849-7977-4e5d-beb5-61c9a3fa3706","2025-08-14 18:16:19.153473","Secondary intractable.","Okay, so you're saying there's an audio log you can't access? What can I do on my end to help you find it or anything else that might pinpoint my location?","False"
"34a74849-7977-4e5d-beb5-61c9a3fa3706","2025-08-14 18:16:44.852054","[An Event has occurred]: You try to turn on your wrist navigation device. I don't know. Can you describe anything you see Does it look like? Where you are?","I see the desolate, rocky surface of Psyche 23 stretching out, with faint stars in the distance. I just tried my wrist navigation device again, but it's still dead. What are you looking at right now on your end? Can you tell me what you're doing to try and locate me?","False"
"34a74849-7977-4e5d-beb5-61c9a3fa3706","2025-08-14 18:16:54.512502","","I see a barren, rocky landscape stretching out, with faint stars in the distance. It definitely looks like I'm still on an asteroid. What are you seeing on your end, and what are you doing to try and locate me?","False"
"02da56a0-bee7-4fc3-a275-289c9e53f788","2025-08-14 17:43:29.723433","[An Event has occurred]: Someone has finally responded to your SOS broadcast!","Hello? ! Can you hear me? !","False"
"02da56a0-bee7-4fc3-a275-289c9e53f788","2025-08-14 17:43:42.905977","It's a can. Is this?","Yeah, it's me, DK Metcalf! Who is this? How are you going to get me out of here?","False"
"02da56a0-bee7-4fc3-a275-289c9e53f788","2025-08-14 17:43:50.610219","","Wait, is this the NASA Analyst? I recognize your voice! I can't believe someone actually heard my SOS.","False"
"02da56a0-bee7-4fc3-a275-289c9e53f788","2025-08-14 17:44:04.029103","Who knows my voice? How do you that? We never spoke before.","Yeah, I recognize What do your voice you mean we from never before spoke? the This isn't mission! a game, I I'm stuck out here and I'm didn't freaking think anyone out! was going How to find are you me going out to get me back here, but to I Earth?","False"
"02da56a0-bee7-4fc3-a275-289c9e53f788","2025-08-14 17:44:10.433473","","guess I was wrong. How are you gonna get me home?","False"
"02da56a0-bee7-4fc3-a275-289c9e53f788","2025-08-14 17:44:36.378860","We never spoke before. I'm pretty sure we never spoke. But, yeah, I am an asset analyst, and I'm going to see what I can do to to find your location on asteroid. That's what I'm currently doing.","Look, I'm telling you, I remember talking to you. But that doesn't even matter right now. This isn't some sim-ulayshun or a game, this is real life and I'm stuck on an asteroid! I need to get back to Earth. What can I do to help you find me?","False"
"02da56a0-bee7-4fc3-a275-289c9e53f788","2025-08-14 17:44:47.974898","[An Event has occurred]: You try to turn on your wrist navigation device.","My wrist device isn't working, I've tried to turn it on but nothing happens. What are you looking at on your end? Can you explain what you're doing to find me?","False"
"02da56a0-bee7-4fc3-a275-289c9e53f788","2025-08-14 17:47:32.926193","Hey, DK. You still there? Hell","Yeah, I'm still here! I'm not going anywhere, not until you get me off this rock. What's the plan? Have you figured out how to get me back yet?","False"
"02da56a0-bee7-4fc3-a275-289c9e53f788","2025-08-14 17:47:37.671720","","Yeah, it's hell out here. Are you making any progress? I need to know what's happening.","False"
